2024-05-09 19:19:58 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2024-05-09 19:19:59 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2024-05-09 19:19:59 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2024-05-09 19:19:59 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2024-05-09 19:20:00 install libpcre2-8-0:amd64 <none> 10.42-1
2024-05-09 19:20:00 status half-installed libpcre2-8-0:amd64 10.42-1
2024-05-09 19:20:01 status unpacked libpcre2-8-0:amd64 10.42-1
2024-05-09 19:20:01 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2024-05-09 19:20:01 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-05-09 19:20:03 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-05-09 19:20:03 install libseccomp2:amd64 <none> 2.5.4-1+b3
2024-05-09 19:20:03 status half-installed libseccomp2:amd64 2.5.4-1+b3
2024-05-09 19:20:04 status unpacked libseccomp2:amd64 2.5.4-1+b3
2024-05-09 19:20:05 install libselinux1:amd64 <none> 3.4-1+b6
2024-05-09 19:20:05 status half-installed libselinux1:amd64 3.4-1+b6
2024-05-09 19:20:05 status unpacked libselinux1:amd64 3.4-1+b6
2024-05-09 19:20:05 install libsemanage-common:all <none> 3.4-1
2024-05-09 19:20:05 status half-installed libsemanage-common:all 3.4-1
2024-05-09 19:20:05 status unpacked libsemanage-common:all 3.4-1
2024-05-09 19:20:06 install libsemanage2:amd64 <none> 3.4-1+b5
2024-05-09 19:20:06 status half-installed libsemanage2:amd64 3.4-1+b5
2024-05-09 19:20:07 status unpacked libsemanage2:amd64 3.4-1+b5
2024-05-09 19:20:08 install libsepol2:amd64 <none> 3.4-2.1
2024-05-09 19:20:08 status half-installed libsepol2:amd64 3.4-2.1
2024-05-09 19:20:09 status unpacked libsepol2:amd64 3.4-2.1
