2024-05-11 14:54:52 status half-installed libtinfo6:amd64 6.4-4
2024-05-11 14:54:52 status unpacked libtinfo6:amd64 6.4-4
2024-05-11 14:54:53 install libudev1:amd64 <none> 252.22-1~deb12u1
2024-05-11 14:54:53 status half-installed libudev1:amd64 252.22-1~deb12u1
2024-05-11 14:54:53 status unpacked libudev1:amd64 252.22-1~deb12u1
2024-05-11 14:54:53 install libunistring2:amd64 <none> 1.0-2
2024-05-11 14:54:53 status half-installed libunistring2:amd64 1.0-2
2024-05-11 14:54:53 status unpacked libunistring2:amd64 1.0-2
2024-05-11 14:54:54 install libuuid1:amd64 <none> 2.38.1-5+b1
2024-05-11 14:54:54 status half-installed libuuid1:amd64 2.38.1-5+b1
2024-05-11 14:54:54 status unpacked libuuid1:amd64 2.38.1-5+b1
2024-05-11 14:54:54 install libxxhash0:amd64 <none> 0.8.1-1
2024-05-11 14:54:54 status half-installed libxxhash0:amd64 0.8.1-1
2024-05-11 14:54:55 status unpacked libxxhash0:amd64 0.8.1-1
2024-05-11 14:54:55 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2024-05-11 14:54:55 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2024-05-11 14:54:55 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2024-05-11 14:54:56 install login:amd64 <none> 1:4.13+dfsg1-1+b1
2024-05-11 14:54:56 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2024-05-11 14:54:56 status unpacked login:amd64 1:4.13+dfsg1-1+b1
2024-05-11 14:54:56 install logsave:amd64 <none> 1.47.0-2
2024-05-11 14:54:56 status half-installed logsave:amd64 1.47.0-2
2024-05-11 14:54:56 status unpacked logsave:amd64 1.47.0-2
2024-05-11 14:54:57 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2024-05-11 14:54:57 status half-configured mawk:amd64 1.3.4.20200120-3.1
2024-05-11 14:54:57 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-05-11 14:54:57 status half-installed mawk:amd64 1.3.4.20200120-3.1
2024-05-11 14:54:57 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-05-11 14:54:57 install mount:amd64 <none> 2.38.1-5+b1
2024-05-11 14:54:57 status half-installed mount:amd64 2.38.1-5+b1
2024-05-11 14:54:58 status unpacked mount:amd64 2.38.1-5+b1
2024-05-11 14:54:58 install ncurses-base:all <none> 6.4-4
2024-05-11 14:54:58 status half-installed ncurses-base:all 6.4-4
