2024-05-12 13:50:17 status unpacked libgdbm-compat4:amd64 1.23-3
2024-05-12 13:50:17 install libgdbm6:amd64 <none> 1.23-3
2024-05-12 13:50:17 status half-installed libgdbm6:amd64 1.23-3
2024-05-12 13:50:18 status unpacked libgdbm6:amd64 1.23-3
2024-05-12 13:50:18 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2024-05-12 13:50:18 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2024-05-12 13:50:18 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2024-05-12 13:50:18 install libgnutls30:amd64 <none> 3.7.9-2+deb12u2
2024-05-12 13:50:18 status half-installed libgnutls30:amd64 3.7.9-2+deb12u2
2024-05-12 13:50:19 status unpacked libgnutls30:amd64 3.7.9-2+deb12u2
2024-05-12 13:50:19 install libgpg-error0:amd64 <none> 1.46-1
2024-05-12 13:50:19 status half-installed libgpg-error0:amd64 1.46-1
2024-05-12 13:50:19 status unpacked libgpg-error0:amd64 1.46-1
2024-05-12 13:50:20 install libhogweed6:amd64 <none> 3.8.1-2
2024-05-12 13:50:20 status half-installed libhogweed6:amd64 3.8.1-2
2024-05-12 13:50:20 status unpacked libhogweed6:amd64 3.8.1-2
2024-05-12 13:50:20 install libidn2-0:amd64 <none> 2.3.3-1+b1
2024-05-12 13:50:20 status half-installed libidn2-0:amd64 2.3.3-1+b1
2024-05-12 13:50:21 status unpacked libidn2-0:amd64 2.3.3-1+b1
2024-05-12 13:50:21 install liblz4-1:amd64 <none> 1.9.4-1
2024-05-12 13:50:21 status half-installed liblz4-1:amd64 1.9.4-1
2024-05-12 13:50:21 status unpacked liblz4-1:amd64 1.9.4-1
2024-05-12 13:50:21 install liblzma5:amd64 <none> 5.4.1-0.2
2024-05-12 13:50:21 status half-installed liblzma5:amd64 5.4.1-0.2
2024-05-12 13:50:22 status unpacked liblzma5:amd64 5.4.1-0.2
2024-05-12 13:50:22 install libmd0:amd64 <none> 1.0.4-2
2024-05-12 13:50:22 status half-installed libmd0:amd64 1.0.4-2
2024-05-12 13:50:22 status unpacked libmd0:amd64 1.0.4-2
2024-05-12 13:50:22 install libmount1:amd64 <none> 2.38.1-5+b1
2024-05-12 13:50:22 status half-installed libmount1:amd64 2.38.1-5+b1
2024-05-12 13:50:23 status unpacked libmount1:amd64 2.38.1-5+b1
2024-05-12 13:50:23 install libnettle8:amd64 <none> 3.8.1-2
2024-05-12 13:50:23 status half-installed libnettle8:amd64 3.8.1-2
2024-05-12 13:50:23 status unpacked libnettle8:amd64 3.8.1-2
2024-05-12 13:50:24 install libnumber-compare-perl:all <none> 0.03-3
2024-05-12 13:50:24 status half-installed libnumber-compare-perl:all 0.03-3
2024-05-12 13:50:24 status unpacked libnumber-compare-perl:all 0.03-3
2024-05-12 13:50:24 install libp11-kit0:amd64 <none> 0.24.1-2
2024-05-12 13:50:24 status half-installed libp11-kit0:amd64 0.24.1-2
2024-05-12 13:50:24 status unpacked libp11-kit0:amd64 0.24.1-2
2024-05-12 13:50:25 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2024-05-12 13:50:25 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2024-05-12 13:50:25 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2024-05-12 13:50:25 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2024-05-12 13:50:25 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2024-05-12 13:50:26 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2024-05-12 13:50:26 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2024-05-12 13:50:26 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2024-05-12 13:50:26 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2024-05-12 13:50:27 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2024-05-12 13:50:27 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2024-05-12 13:50:27 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2024-05-12 13:50:27 install libpcre2-8-0:amd64 <none> 10.42-1
